ID,adj.P.Val,pvalue,t,B,log2FoldChange,Gene_Symbol,Gene.title
217768_at,3.2e-08,4.29e-09,6.388858,9.9930653,0.4381777,C14orf166,chromosome 14 open reading frame 166
211908_x_at,3.2e-08,4.29e-09,6.388742,9.992528,0.9122033,IGK,immunoglobulin kappa locus
216339_s_at,3.2e-08,4.29e-09,-6.388453,9.9911804,-0.2968601,TNXB,tenascin XB///tenascin XA (pseudogene)
205857_at,3.2e-08,4.3e-09,-6.38836,9.9907475,-0.7359288,SLC18A2,solute carrier family 18 member A2
201773_at,3.22e-08,4.32e-09,6.387297,9.985792,0.5455053,ADNP,activity dependent neuroprotector homeobox
212156_at,3.23e-08,4.33e-09,-6.386548,9.9822978,-0.2755419,VPS39,"VPS39, HOPS complex subunit"
218099_at,3.24e-08,4.35e-09,-6.385509,9.977457,-0.3003114,TEX2,testis expressed 2
202686_s_at,3.25e-08,4.36e-09,-6.38502,9.9751764,-0.7328145,AXL,AXL receptor tyrosine kinase
201375_s_at,3.25e-08,4.36e-09,-6.384981,9.9749934,-0.5764802,PPP2CB,protein phosphatase 2 catalytic subunit beta
202923_s_at,3.26e-08,4.38e-09,6.384318,9.9719058,1.1895981,GCLC,glutamate-cysteine ligase catalytic subunit
212516_at,3.32e-08,4.46e-09,-6.380408,9.9536866,-0.3650045,ARAP1,"ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1"
220651_s_at,3.32e-08,4.46e-09,6.3804,9.9536494,0.5923871,MCM10,minichromosome maintenance 10 replication initiation factor
218582_at,3.32e-08,4.46e-09,6.380363,9.9534778,0.4364827,MARCH5,membrane associated ring-CH-type finger 5
222150_s_at,3.36e-08,4.51e-09,-6.377873,9.9418756,-0.7324574,GSAP,gamma-secretase activating protein
201624_at,3.38e-08,4.55e-09,6.376014,9.9332162,0.6132834,DARS,aspartyl-tRNA synthetase
219249_s_at,3.39e-08,4.56e-09,6.375539,9.9310046,0.4179894,FKBP10,FK506 binding protein 10
45653_at,3.41e-08,4.59e-09,6.374157,9.9245669,0.3361673,KCTD13,potassium channel tetramerization domain containing 13
202001_s_at,3.42e-08,4.61e-09,6.373519,9.9215957,0.4780158,NDUFA6,NADH:ubiquinone oxidoreductase subunit A6
65438_at,3.44e-08,4.63e-09,6.372368,9.916236,0.2475223,TLDC1,TBC/LysM-associated domain containing 1
221898_at,3.48e-08,4.69e-09,-6.369867,9.9045938,-0.5352503,PDPN,podoplanin
220235_s_at,3.49e-08,4.71e-09,6.369005,9.9005819,0.8332661,LRIF1,ligand dependent nuclear receptor interacting factor 1
